,gender,program,freq,cost,time,income,state,mode<10,mode>10,dist
0,male,ug,3-4,5500.0,6.0,>5,Rajasthan,flight,flight,1350
1,male,pg,3-4,3000.0,30.0,<5,Rajasthan,train,train,1350
2,male,ug,<2,2000.0,30.0,>5,Rajasthan,train,train,1350
3,male,ug,<2,5000.0,24.0,<5,Rajasthan,flight,train,1350
4,male,ug,<2,2500.0,40.0,>5,Rajasthan,flight,train,1350
5,male,ug,3-4,6000.0,4.0,>5,Rajasthan,flight,flight,1350
6,male,ug,3-4,4000.0,4.0,>5,Rajasthan,flight,flight,1350
7,male,ug,<2,2500.0,40.0,>5,Rajasthan,flight,train,1350
8,female,ug,<2,1800.0,30.0,<5,Rajasthan,train,train,1350
9,female,pg,<2,4500.0,24.0,<5,Rajasthan,flight,train,1350
10,female,pg,<2,5000.0,46.0,<5,Rajasthan,train,train,1350
11,male,ug,3-4,7000.0,6.0,>5,Rajasthan,flight,flight,1350
12,male,ug,<2,3000.0,45.0,>5,Rajasthan,train,train,1350
13,male,ug,3-4,4000.0,2.0,>5,Maharashtra,flight,flight,550
14,male,ug,3-4,2000.0,12.0,>5,Maharashtra,road,road,550
15,male,pg,<2,500.0,8.0,<5,Maharashtra,train,train,550
16,male,ug,<2,2000.0,15.0,>5,Maharashtra,train,train,550
17,male,pg,3-4,500.0,15.0,>5,Maharashtra,train,train,550
18,male,ug,<2,1500.0,12.0,>5,Maharashtra,train,train,550
19,male,ug,<2,3500.0,10.0,>5,Maharashtra,train,train,550
20,male,pg,3-4,2000.0,20.0,>5,Maharashtra,train,train,550
21,female,ug,3-4,7000.0,8.0,<5,Maharashtra,road,road,550
22,male,ug,3-4,1000.0,10.0,>5,Maharashtra,train,train,550
23,male,ug,3-4,1000.0,10.0,<5,Maharashtra,train,train,550
24,male,ug,3-4,1500.0,11.0,>5,Maharashtra,road,road,550
25,female,ug,3-4,2500.0,20.0,>5,Maharashtra,train,train,550
26,male,ug,3-4,1300.0,8.0,>5,Maharashtra,road,road,550
27,female,pg,3-4,5000.0,4.5,>5,Maharashtra,flight,flight,550
28,male,pg,>10,1500.0,12.0,>5,Maharashtra,road,road,550
29,male,ug,3-4,2000.0,12.0,<5,Maharashtra,train,train,550
30,female,pg,<2,2500.0,14.0,<5,Maharashtra,road,road,550
